Estabelecimento,CodigoEstabelecimento,UnidadeOrganica,CodigoUnidadeOrganica,Natureza,TipoEnsino,NomeCurso,CodigoCurso,Grau,NumeroDiplomadosCurso,AmostraAceite,NumeroDiplomadosDesempregados,TaxaDesempregoRegistadoCurso,AnosLetivosDiplomados,Fonte
Universidade Lusíada de Vila Nova de Famalicão,2402,Universidade Lusíada de Vila Nova de Famalicão,2402,Privado,Universitário,Engenharia e Gestão Industrial,9104,Licenciatura,70,Sim,7,10,2009/10_2012/13,DGEEC
Instituto Politécnico de Bragança,3040,Escola Superior de Tecnologia e de Gestão de Bragança,3043,Público,Politécnico,Engenharia Electrotécnica e de Computadores,9112,Licenciatura,60,Sim,6,10,2009/10_2012/13,DGES
Instituto Politécnico da Guarda,3090,Escola Superior de Tecnologia e Gestão,3092,Público,Politécnico,Engenharia Informática,9119,Licenciatura,70,Sim,7,10,2009/10_2012/13,DGES
Instituto Politécnico de Viana do Castelo,3160,Escola Superior de Educação,3162,Público,Politécnico,Educação Básica,9853,Licenciatura,278,Sim,28,10,2009/10_2012/13,DGES
CESPU-Instituto Politécnico de Saúde do Norte,4107,Escola Superior de Saúde do Vale do Sousa,4109,Privado,Politécnico,Prótese Dentária,9791,Licenciatura,110,Sim,11,10,2009/10_2012/13,DGEEC
Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,7220,Público,Politécnico,Ortoprotesia,8152,Licenciatura,100,Sim,10,10,2009/10_2012/13,DGES
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Design,9069,Licenciatura,202,Sim,20,"9,9",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Letras,1506,Público,Universitário,História,9181,Licenciatura,131,Sim,13,"9,9",2009/10_2012/13,DGES
Universidade Católica Portuguesa,2200,Escola Superior Politécnica de Saúde (Porto),2216,Privado,Politécnico,Enfermagem,9500,Licenciatura,364,Sim,36,"9,9",2009/10_2012/13,DGEEC
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Gestão de Empresas,9152,Licenciatura,372,Sim,37,"9,9",2009/10_2012/13,DGEEC
Instituto Politécnico do Porto,3130,Instituto Superior de Contabilidade e Administração do Porto,3134,Público,Politécnico,Contabilidade e Administração,9058,Licenciatura,734,Sim,73,"9,9",2009/10_2012/13,DGES
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Gestão,9147,Licenciatura,173,Sim,17,"9,8",2009/10_2012/13,DGES
