Estabelecimento,CodigoEstabelecimento,UnidadeOrganica,CodigoUnidadeOrganica,Natureza,TipoEnsino,NomeCurso,CodigoCurso,Grau,NumeroDiplomadosCurso,AmostraAceite,NumeroDiplomadosDesempregados,TaxaDesempregoRegistadoCurso,AnosLetivosDiplomados,Fonte
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Arquitectura,9257,Mestrado Integrado,152,Sim,27,"17,7",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior de Ciências Sociais e Políticas,1516,Público,Universitário,Ciências da Comunicação,9023,Licenciatura,186,Sim,33,"17,7",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,Escola Superior de Saúde de Bragança,7015,Público,Politécnico,Dietética e Nutrição,8149,Licenciatura,130,Sim,23,"17,6",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Tecnologia da Saúde do Porto,7230,Público,Politécnico,Saúde Ambiental,9861,Licenciatura,142,Sim,25,"17,6",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Engenharia,1105,Público,Universitário,Engenharia do Ambiente,9508,Mestrado Integrado,137,Sim,24,"17,5",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Psicologia e de Ciências da Educação,1109,Público,Universitário,Psicologia,9555,Mestrado Integrado,483,Sim,85,"17,5",2009/10_2012/13,DGES
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Engenharia do Ambiente,9099,Licenciatura,40,Sim,7,"17,5",2009/10_2012/13,DGEEC
Universidade Lusófona do Porto,4032,Universidade Lusófona do Porto,4032,Privado,Universitário,Turismo e Gestão de Empresas Turísticas,8163,Licenciatura,40,Sim,7,"17,5",2009/10_2012/13,DGEEC
Instituto Superior de Administração e Gestão,4200,Instituto Superior de Administração e Gestão,4200,Privado,Politécnico,Gestão de Empresas,9152,Licenciatura,263,Sim,46,"17,5",2009/10_2012/13,DGEEC
Universidade Lusíada,2400,Universidade Lusíada,2400,Privado,Universitário,Design,9069,Licenciatura,121,Sim,21,"17,4",2009/10_2012/13,DGEEC
Universidade de Lisboa,1500,Faculdade de Psicologia,1511,Público,Universitário,Psicologia,9555,Mestrado Integrado,495,Sim,86,"17,3",2009/10_2012/13,DGES
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Design,9069,Licenciatura,150,Sim,26,"17,3",2009/10_2012/13,DGEEC
Instituto Politécnico de Viana do Castelo,3160,Escola Superior de Tecnologia e Gestão,3163,Público,Politécnico,Ciência e Tecnologia Alimentar,L016,Licenciatura,115,Sim,20,"17,3",2009/10_2012/13,DGES
Escola Superior de Artes e Design,4069,Escola Superior de Artes e Design,4069,Privado,Politécnico,Artes,9679,Licenciatura,127,Sim,22,"17,3",2009/10_2012/13,DGEEC
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Serviço Social,9238,Licenciatura,268,Sim,46,"17,2",2009/10_2012/13,DGEEC
Instituto Politécnico de Viana do Castelo,3160,Escola Superior de Educação,3162,Público,Politécnico,Educação Social Gerontológica,9473,Licenciatura,122,Sim,21,"17,2",2009/10_2012/13,DGES
Instituto Politécnico de Viana do Castelo,3160,Escola Superior de Tecnologia e Gestão,3163,Público,Politécnico,Engenharia de Sistemas de Energias Renováveis,9857,Licenciatura,81,Sim,14,"17,2",2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Psicologia e de Ciências da Educação,507,Público,Universitário,Psicologia,9555,Mestrado Integrado,515,Sim,88,17,2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências e Tecnologia,1203,Público,Universitário,Engenharia Civil,9089,Licenciatura,117,Sim,20,17,2009/10_2012/13,DGES
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Arquitectura,9257,Mestrado Integrado,171,Sim,29,"16,9",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Psicologia,9555,Mestrado Integrado,342,Sim,58,"16,9",2009/10_2012/13,DGES
Instituto Politécnico de Castelo Branco,3050,Escola Superior Agrária de Castelo Branco,3051,Público,Politécnico,Nutrição Humana e Qualidade Alimentar,9482,Licenciatura,130,Sim,22,"16,9",2009/10_2012/13,DGES
Universidade do Algarve,200,"Escola Superior de Gestão, Hotelaria e Turismo",3082,Público,Politécnico,Turismo,9254,Licenciatura,207,Sim,35,"16,9",2009/10_2012/13,DGES
Instituto Politécnico de Portalegre,3120,Escola Superior de Tecnologia e Gestão,3122,Público,Politécnico,Design e Animação Multimédia,9469,Licenciatura,53,Sim,9,"16,9",2009/10_2012/13,DGES
CESPU-Instituto Politécnico de Saúde do Norte,4107,Escola Superior de Saúde do Vale do Sousa,4109,Privado,Politécnico,Fisioterapia,9504,Licenciatura,231,Sim,39,"16,9",2009/10_2012/13,DGEEC
Universidade de Coimbra,500,Faculdade de Ciências e Tecnologia,501,Público,Universitário,Engenharia do Ambiente,9508,Mestrado Integrado,107,Sim,18,"16,8",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Estudos Portugueses e Lusófonos,9138,Licenciatura,107,Sim,18,"16,8",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Ciências,1103,Público,Universitário,Ciências de Engenharia,9824,Licenciatura,107,Sim,18,"16,8",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,3102,Público,Politécnico,Engenharia da Energia e do Ambiente,9648,Licenciatura,107,Sim,18,"16,8",2009/10_2012/13,DGES
Universidade Lusófona do Porto,4032,Universidade Lusófona do Porto,4032,Privado,Universitário,Ciências da Comunicação e da Cultura,9024,Licenciatura,78,Sim,13,"16,7",2009/10_2012/13,DGEEC
Instituto Superior Politécnico Gaya,4440,Escola Superior de Ciência e Tecnologia,4442,Privado,Politécnico,Engenharia Informática,9119,Licenciatura,54,Sim,9,"16,7",2009/10_2012/13,DGEEC
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Economia,9081,Licenciatura,138,Sim,23,"16,6",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências Agrárias e Veterinárias,1201,Público,Universitário,Arquitectura Paisagista,8258,Licenciatura,96,Sim,16,"16,6",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências Agrárias e Veterinárias,1201,Público,Universitário,Medicina Veterinária,9847,Mestrado Integrado,138,Sim,23,"16,6",2009/10_2012/13,DGES
Universidade de Aveiro,300,"Escola Superior de Design, Gestão e Tecnologias da Produção de Aveiro-Norte",3014,Público,Politécnico,Tecnologia e Design de Produto,9245,Licenciatura,78,Sim,13,"16,6",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Gestão,9147,Licenciatura,332,Sim,55,"16,5",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Letras,1107,Público,Universitário,Sociologia,9240,Licenciatura,163,Sim,27,"16,5",2009/10_2012/13,DGES
Instituto Politécnico de Castelo Branco,3050,Escola Superior Agrária de Castelo Branco,3051,Público,Politécnico,Engenharia Biológica e Alimentar,9742,Licenciatura,115,Sim,19,"16,5",2009/10_2012/13,DGES
Instituto Politécnico da Guarda,3090,Escola Superior de Tecnologia e Gestão,3092,Público,Politécnico,Gestão,9147,Licenciatura,115,Sim,19,"16,5",2009/10_2012/13,DGES
Universidade do Algarve,200,Faculdade de Economia,204,Público,Universitário,Sociologia,9240,Licenciatura,85,Sim,14,"16,4",2009/10_2012/13,DGES
Universidade Lusíada de Vila Nova de Famalicão,2402,Universidade Lusíada de Vila Nova de Famalicão,2402,Privado,Universitário,Engenharia Electrónica e Informática,9547,Licenciatura,67,Sim,11,"16,4",2009/10_2012/13,DGEEC
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,"Comunicação Aplicada: Marketing, Publicidade e Relações Públicas",9051,Licenciatura,304,Sim,50,"16,4",2009/10_2012/13,DGEEC
"ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida",4450,"ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida",4450,Privado,Universitário,Psicologia,9555,Mestrado Integrado,791,Sim,130,"16,4",2009/10_2012/13,DGEEC
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Turismo,9254,Licenciatura,98,Sim,16,"16,3",2009/10_2012/13,DGES
Universidade de Évora,600,Escola de Ciências e Tecnologia,602,Público,Universitário,Arquitectura Paisagista,8258,Licenciatura,61,Sim,10,"16,3",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências Agrárias e Veterinárias,1201,Público,Universitário,Engenharia Agronómica,9086,Licenciatura,55,Sim,9,"16,3",2009/10_2012/13,DGES
Instituto Politécnico da Guarda,3090,Escola Superior de Tecnologia e Gestão,3092,Público,Politécnico,Engenharia Topográfica,9128,Licenciatura,55,Sim,9,"16,3",2009/10_2012/13,DGES
Instituto Politécnico de Santarém,3140,Escola Superior de Educação de Santarém,3142,Público,Politécnico,Educação Social,9084,Licenciatura,177,Sim,29,"16,3",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Letras,1506,Público,Universitário,Estudos Portugueses,9917,Licenciatura,43,Sim,7,"16,2",2009/10_2012/13,DGES
Instituto Politécnico de Coimbra,3060,Escola Superior de Educação de Coimbra,3062,Público,Politécnico,Comunicação e Design Multimédia,9894,Licenciatura,160,Sim,26,"16,2",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Educação de Viseu,3181,Público,Politécnico,Educação Ambiental,9082,Licenciatura,86,Sim,14,"16,2",2009/10_2012/13,DGES
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Design Multimédia,9075,Licenciatura,142,Sim,23,"16,1",2009/10_2012/13,DGES
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Sociologia,9240,Licenciatura,99,Sim,16,"16,1",2009/10_2012/13,DGES
Universidade de Évora,600,Escola de Ciências Sociais,604,Público,Universitário,Turismo,9254,Licenciatura,136,Sim,22,"16,1",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior de Ciências Sociais e Políticas,1516,Público,Universitário,Sociologia,9240,Licenciatura,167,Sim,27,"16,1",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,Escola Superior de Educação de Bragança,3042,Público,Politécnico,Arte e Design,9898,Licenciatura,68,Sim,11,"16,1",2009/10_2012/13,DGES
Instituto Politécnico da Guarda,3090,"Escola Superior de Educação, Comunicação e Desporto",3091,Público,Politécnico,Desporto,9563,Licenciatura,155,Sim,25,"16,1",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Instituto Superior de Engenharia do Porto,3135,Público,Politécnico,Engenharia Geotécnica e Geoambiente,9117,Licenciatura,68,Sim,11,"16,1",2009/10_2012/13,DGES
Instituto Português de Administração de Marketing de Matosinhos,4155,Instituto Português de Administração de Marketing de Matosinhos,4155,Privado,Politécnico,Gestão de Marketing,9156,Licenciatura,497,Sim,80,"16,1",2009/10_2012/13,DGEEC
Instituto Superior Miguel Torga,4500,Instituto Superior Miguel Torga,4500,Privado,Universitário,Serviço Social,9238,Licenciatura,149,Sim,24,"16,1",2009/10_2012/13,DGEEC
Instituto Superior de Estudos Interculturais e Transdisciplinares - Viseu,4308,Instituto Superior de Estudos Interculturais e Transdisciplinares - Viseu,4308,Privado,Universitário,Psicologia,9219,Licenciatura,75,Sim,12,16,2009/10_2012/13,DGEEC
Instituto de Estudos Superiores Financeiros e Fiscais (Porto),4141,Instituto de Estudos Superiores Financeiros e Fiscais (Porto),4141,Privado,Politécnico,Gestão e Negócios,9169,Licenciatura,63,Sim,10,"15,9",2009/10_2012/13,DGEEC
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências Humanas e Sociais,1202,Público,Universitário,Gestão,9147,Licenciatura,164,Sim,26,"15,8",2009/10_2012/13,DGES
Instituto Politécnico de Castelo Branco,3050,Escola Superior de Artes Aplicadas de Castelo Branco,3055,Público,Politécnico,Design de Interiores e Equipamento,9725,Licenciatura,126,Sim,20,"15,8",2009/10_2012/13,DGES
Instituto Politécnico de Coimbra,3060,Escola Superior de Educação de Coimbra,3062,Público,Politécnico,Arte e Design,9898,Licenciatura,107,Sim,17,"15,8",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Música e das Artes do Espectáculo,3132,Público,Politécnico,Tecnologia da Comunicação Audiovisual,9244,Licenciatura,101,Sim,16,"15,8",2009/10_2012/13,DGES
Universidade do Algarve,200,Escola Superior de Educação e Comunicação,3081,Público,Politécnico,Ciências da Comunicação,9023,Licenciatura,133,Sim,21,"15,7",2009/10_2012/13,DGES
Instituto Politécnico da Guarda,3090,Escola Superior de Tecnologia e Gestão,3092,Público,Politécnico,Energia e Ambiente,9855,Licenciatura,38,Sim,6,"15,7",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Educação de Viseu,3181,Público,Politécnico,Educação Social,9084,Licenciatura,248,Sim,39,"15,7",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Química,9223,Licenciatura,96,Sim,15,"15,6",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Letras,1107,Público,Universitário,Ciência da Informação,9694,Licenciatura,128,Sim,20,"15,6",2009/10_2012/13,DGES
Instituto Politécnico de Santarém,3140,Escola Superior de Desporto de Rio Maior,3145,Público,Politécnico,Gestão das Organizações Desportivas,9763,Licenciatura,51,Sim,8,"15,6",2009/10_2012/13,DGES
Instituto Politécnico de Viana do Castelo,3160,Escola Superior de Tecnologia e Gestão,3163,Público,Politécnico,Engenharia Civil e do Ambiente,9743,Licenciatura,172,Sim,27,"15,6",2009/10_2012/13,DGES
Instituto Superior de Tecnologias Avançadas de Lisboa (Porto),4531,Instituto Superior de Tecnologias Avançadas de Lisboa (Porto),4531,Privado,Politécnico,Informática,9185,Licenciatura,45,Sim,7,"15,6",2009/10_2012/13,DGEEC
Escola Superior de Educação de Fafe,4076,Escola Superior de Educação de Fafe,4076,Privado,Politécnico,Educação Básica,9853,Licenciatura,103,Sim,16,"15,5",2009/10_2012/13,DGEEC
Instituto Politécnico do Porto,3130,Escola Superior de Tecnologia da Saúde do Porto,7230,Público,Politécnico,Radiologia,9505,Licenciatura,180,Sim,28,"15,5",2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Letras,505,Público,Universitário,História,9181,Licenciatura,123,Sim,19,"15,4",2009/10_2012/13,DGES
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Comunicação e Jornalismo,9662,Licenciatura,78,Sim,12,"15,4",2009/10_2012/13,DGEEC
Universidade Lusófona do Porto,4032,Universidade Lusófona do Porto,4032,Privado,Universitário,Direito,9078,Licenciatura,227,Sim,35,"15,4",2009/10_2012/13,DGEEC
Universidade de Coimbra,500,Faculdade de Letras,505,Público,Universitário,Jornalismo,9191,Licenciatura,183,Sim,28,"15,3",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Psicologia e de Ciências da Educação,1109,Público,Universitário,Ciências da Educação,9026,Licenciatura,202,Sim,31,"15,3",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Artes e Design das Caldas da Rainha,3103,Público,Politécnico,Design de Ambientes,9723,Licenciatura,91,Sim,14,"15,3",2009/10_2012/13,DGES
Instituto Politécnico de Santarém,3140,Escola Superior de Desporto de Rio Maior,3145,Público,Politécnico,"Desporto, Condição Física e Saúde",L034,Licenciatura,104,Sim,16,"15,3",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Educação de Viseu,3181,Público,Politécnico,Desporto e Actividade Física,9850,Licenciatura,124,Sim,19,"15,3",2009/10_2012/13,DGES
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Administração Pública,9002,Licenciatura,184,Sim,28,"15,2",2009/10_2012/13,DGES
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Engenharia Civil,9360,Mestrado Integrado,125,Sim,19,"15,2",2009/10_2012/13,DGES
Universidade Portucalense Infante D. Henrique,2500,Universidade Portucalense Infante D. Henrique,2500,Privado,Universitário,Psicologia,9219,Licenciatura,92,Sim,14,"15,2",2009/10_2012/13,DGEEC
Universidade de Aveiro,300,Instituto Superior de Contabilidade e Administração de Aveiro,3011,Público,Politécnico,Marketing,9205,Licenciatura,144,Sim,22,"15,2",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,Escola Superior de Tecnologia e de Gestão de Bragança,3043,Público,Politécnico,Engenharia Civil,9089,Licenciatura,125,Sim,19,"15,2",2009/10_2012/13,DGES
Escola Superior de Actividades Imobiliárias,4020,Escola Superior de Actividades Imobiliárias,4020,Privado,Universitário,Gestão Imobiliária,9174,Licenciatura,92,Sim,14,"15,2",2009/10_2012/13,DGEEC
Instituto Superior de Administração e Gestão,4200,Instituto Superior de Administração e Gestão,4200,Privado,Politécnico,Gestão Hoteleira,9173,Licenciatura,73,Sim,11,"15,1",2009/10_2012/13,DGEEC
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Design Industrial,9074,Licenciatura,106,Sim,16,15,2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Direito,1114,Público,Universitário,Direito,9078,Licenciatura,464,Sim,70,15,2009/10_2012/13,DGES
Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Gestão,3031,Público,Politécnico,Gestão Bancária e Seguros,9920,Licenciatura,113,Sim,17,15,2009/10_2012/13,DGES
Instituto Politécnico de Portalegre,3120,Escola Superior de Tecnologia e Gestão,3122,Público,Politécnico,Engenharia das Energias Renováveis e Ambiente,9856,Licenciatura,60,Sim,9,15,2009/10_2012/13,DGES
Instituto Politécnico de Viana do Castelo,3160,Escola Superior de Tecnologia e Gestão,3163,Público,Politécnico,Turismo,9254,Licenciatura,180,Sim,27,15,2009/10_2012/13,DGES
